mapname;zoneid;memo;noreturnondc;teleport;itemdrop;exploss;pvp;pvpnightmare;guildpvp;items;skill;deadbranches;flywings;butterflywings;turbotrack;noparty;noguild;weather
06guild_01;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
06guild_02;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
06guild_03;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
06guild_04;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
06guild_05;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
06guild_06;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
06guild_07;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
06guild_08;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
06guild_r;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
abyss_01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
abyss_02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
abyss_03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
airplane;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
airplane_01;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
airport;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
alb2trea;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
alberta;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
alberta_in;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
alb_ship;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
aldebaran;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
aldeba_in;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
aldeg_cas01;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
aldeg_cas02;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
aldeg_cas03;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
