LEVEL;NOVICE;SWORDMAN;MAGICIAN;ARCHER;ACOLYTE;MERCHANT;THIEF;KNIGHT;PRIEST;WIZARD;BLACKSMITH;HUNTER;ASSASSIN;CRUSADER;ROGUE;SAGE;ALCHEMIST;MONK;BARD;DANCER;SUPER_NOVICE;HIGH_NOVICE;HIGH_SWORDMAN;HIGH_MAGICIAN;HIGH_ARCHER;HIGH_ACOLYTE;HIGH_MERCHANT;HIGH_THIEF;LORD_KNIGHT;HIGH_PRIEST;HIGH_WIZARD;WHITESMITH;SNIPER;ASSASSIN_CROSS;PALADIN;STALKER;PROFESSOR;BIOCHEMIST;CHAMPION;CLOWN;GYPSY;BABY_NOVICE;BABY_SWORDMAN;BABY_MAGICIAN;BABY_ARCHER;BABY_ACOLYTE;BABY_MERCHANT;BABY_THIEF;BABY_KNIGHT;BABY_PRIEST;BABY_WIZARD;BABY_BLACKSMITH;BABY_HUNTER;BABY_ASSASSIN;BABY_CRUSADER;BABY_ROGUE;BABY_SAGE;BABY_ALCHEMIST;BABY_MONK;BABY_BARD;BABY_DANCER;BABY_SUPER_NOVICE;TAEKWON;STAR_GLADIATOR;SOUL_LINKER;GUNSLINGER;NINJA
1;11;12;16;12;15;13;12;13;18;19;14;14;14;14;14;17;15;14;15;15;11;11;12;16;12;15;13;12;13;18;19;14;14;14;14;15;17;14;14;15;15;11;12;16;12;15;13;12;13;18;19;14;14;14;14;14;17;15;14;15;15;11;12;14;19;12;14
2;12;14;22;14;20;16;14;16;26;28;18;18;18;19;19;24;20;18;22;22;12;12;14;22;14;20;16;14;16;26;28;18;18;18;19;20;24;18;19;22;22;12;14;22;14;20;16;14;16;26;28;18;18;18;19;19;24;20;18;22;22;12;14;19;28;15;17
3;13;16;28;16;25;19;16;19;34;37;22;22;22;24;24;31;25;22;28;28;13;13;16;28;16;25;19;16;19;34;37;22;22;22;24;25;31;22;24;28;28;13;16;28;16;25;19;16;19;34;37;22;22;22;24;24;31;25;22;28;28;13;16;24;37;18;20
4;14;18;34;18;30;22;18;22;42;46;26;26;26;28;28;38;30;26;34;34;14;14;18;34;18;30;22;18;22;42;46;26;26;26;28;30;38;26;28;34;34;14;18;34;18;30;22;18;22;42;46;26;26;26;28;28;38;30;26;34;34;14;18;28;46;21;23
5;15;20;40;20;35;25;20;25;50;55;30;30;30;33;33;45;35;30;40;40;15;15;20;40;20;35;25;20;25;50;55;30;30;30;33;35;45;30;33;40;40;15;20;40;20;35;25;20;25;50;55;30;30;30;33;33;45;35;30;40;40;15;20;33;55;24;26
6;16;22;46;22;40;28;22;28;58;64;34;34;34;38;38;52;40;34;46;46;16;16;22;46;22;40;28;22;28;58;64;34;34;34;38;40;52;34;38;46;46;16;22;46;22;40;28;22;28;58;64;34;34;34;38;38;52;40;34;46;46;16;22;38;64;27;29
7;17;24;52;24;45;31;24;31;66;73;38;38;38;42;42;59;45;38;52;52;17;17;24;52;24;45;31;24;31;66;73;38;38;38;42;45;59;38;42;52;52;17;24;52;24;45;31;24;31;66;73;38;38;38;42;42;59;45;38;52;52;17;24;42;73;30;32
8;18;26;58;26;50;34;26;34;74;82;42;42;42;47;47;66;50;42;58;58;18;18;26;58;26;50;34;26;34;74;82;42;42;42;47;50;66;42;47;58;58;18;26;58;26;50;34;26;34;74;82;42;42;42;47;47;66;50;42;58;58;18;26;47;82;33;35
9;19;28;64;28;55;37;28;37;82;91;46;46;46;52;52;73;55;46;64;64;19;19;28;64;28;55;37;28;37;82;91;46;46;46;52;55;73;46;52;64;64;19;28;64;28;55;37;28;37;82;91;46;46;46;52;52;73;55;46;64;64;19;28;52;91;36;38
10;20;30;70;30;60;40;30;40;90;100;50;50;50;57;57;80;60;50;70;70;20;20;30;70;30;60;40;30;40;90;100;50;50;50;57;60;80;50;57;70;70;20;30;70;30;60;40;30;40;90;100;50;50;50;57;57;80;60;50;70;70;20;30;57;100;39;41
11;21;32;76;32;65;43;32;43;98;109;54;54;54;61;61;87;65;54;76;76;21;21;32;76;32;65;43;32;43;98;109;54;54;54;61;65;87;54;61;76;76;21;32;76;32;65;43;32;43;98;109;54;54;54;61;61;87;65;54;76;76;21;32;61;109;42;44
