level;points
0;0
1;48
2;51
3;54
4;57
5;60
6;64
7;68
8;72
9;76
10;80
11;85
12;90
13;95
14;100
15;105
16;111
17;117
18;123
19;129
20;135
21;142
22;149
23;156
24;163
25;170
26;178
27;186
28;194
29;202
30;210
31;219
32;228
33;237
34;246
35;255
36;265
37;275
38;285
39;295
40;305
41;316
42;327
43;338
44;349
45;360
46;372
47;384
48;396
49;408
50;420
51;433
52;446
53;459
54;472
55;485
56;499
57;513
58;527
59;541
60;555
61;570
62;585
63;600
64;615
65;630
66;646
67;662
68;678
69;694
70;710
71;727
72;744
73;761
74;778
75;795
76;813
77;831
78;849
79;867
80;885
81;904
82;923
83;942
84;961
85;980
86;1000
87;1020
88;1040
89;1060
90;1080
91;1101
92;1122
93;1143
94;1164
95;1185
96;1207
97;1229
98;1251
99;1273
